test_idx,y_true,seq_to_seq,seq_to_clin,clin_to_seq,clin_to_clin
2426,1,0.999813,0.000187,1.0,0.0
4730,1,0.99998,2e-05,1.0,0.0
4055,1,0.672445,0.327555,1.0,0.0
587,1,0.000157,0.999843,3e-05,0.99997
213,0,2.5e-05,0.999975,1e-06,0.999999
4401,1,1.0,0.0,1.0,0.0
2830,1,0.999922,7.8e-05,1.0,0.0
2386,1,1.0,0.0,1.0,0.0
627,1,1.0,0.0,0.0,1.0
2308,1,1.0,0.0,1.0,0.0
2257,1,1.0,0.0,1.0,0.0
3576,0,0.023545,0.976455,0.073305,0.926696
3565,1,1.0,0.0,1.0,0.0
1037,1,1.0,0.0,1.0,0.0
1828,1,1.0,0.0,0.0,1.0
759,1,1.0,0.0,1.0,0.0
1318,1,1.0,0.0,0.0,1.0
2999,0,1.0,0.0,0.0,1.0
4807,1,1.0,0.0,1.0,0.0
1374,1,1.0,0.0,1.0,0.0
4690,1,1.0,0.0,1.0,0.0
6016,0,0.849641,0.150359,0.853194,0.146806
305,0,2e-06,0.999998,0.0,1.0
1313,1,1.0,0.0,0.0,1.0
103,0,0.003099,0.996901,0.0,1.0
3080,0,0.898453,0.101547,0.885318,0.114682
14,0,1.0,0.0,0.0,1.0
3860,1,1.0,0.0,1.0,0.0
3509,1,0.99992,8e-05,1.0,0.0
4308,1,1.0,0.0,1.0,0.0
5542,1,1.0,0.0,0.0,1.0
2448,1,1.0,0.0,0.0,1.0
3850,1,0.999996,4e-06,1.0,0.0
1261,1,1.0,0.0,1.0,0.0
2560,1,0.000157,0.999843,0.0,1.0
2050,1,1.0,0.0,1.0,0.0
3975,1,0.999944,5.6e-05,1.0,0.0
3828,1,1.0,0.0,1.0,0.0
3365,1,1.0,0.0,1.0,0.0
4022,1,1.0,0.0,1.0,0.0
6197,1,0.001134,0.998866,1.7e-05,0.999983
3308,1,1.0,0.0,0.0,1.0
628,1,1.0,0.0,0.0,1.0
2522,1,0.999692,0.000308,1.0,0.0
4356,1,1.0,0.0,1.0,0.0
3903,1,1.0,0.0,0.996586,0.003414
1195,1,1.0,0.0,1.0,0.0
